chapuni/llvm
opencv/opencv
chapuni/llvm-project
Kitware/ParaView
mongodb/mongo
bitcoin/bitcoin
musescore/MuseScore
basho/leveldb
symfony-fr/symfony-docs-fr
TrinityCore/TrinityCore
dmorse/simpatico
SFML/SFML
mozilla/mozilla-central
arx/ArxLibertatis
halide/Halide
xbmc/xbmc
facebook/folly
rdp/ffmpeg-windows-build-helpers
hpcc-systems/HPCC-Platform
nmap/nmap
tomahawk-player/tomahawk
lordmulder/LameXP
ninja-build/ninja
mapnik/mapnik
bjorn/tiled
enigma-dev/enigma-dev
mosra/corrade
puppetlabs/facter
OKullmann/oklibrary
gerstrong/Commander-Genius
communi/communi
moai/moai-dev
scummvm/scummvm
Singular/Sources
Singular/spielwiese-ci
mavlink/qgroundcontrol
edubart/otclient
mumble-voip/mumble
thrust/thrust
znc/znc
uspgamedev/ugdk
openframeworks/openFrameworks
basho/eleveldb
euroelessar/qutim
openscad/openscad
akkartik/wart
rcaelers/workrave
yorikvanhavre/FreeCAD
fritzo/pomagma
LibreCAD/LibreCAD
apitrace/apitrace
mcostalba/Stockfish
goldendict/goldendict
couchbase/ep-engine
vdm113/wxWidgets-ICC-patch
ludamad/lanarts
battle-for-wesnoth/svn
inspircd/inspircd
shogun-toolbox/shogun
garrison/vmc
mapnik/node-mapnik
SupSuper/OpenXcom
solarus-games/solarus
aseba-community/aseba
pioneerspacesim/pioneer
Wizmann/ACM-ICPC
mozilla/rhino
kvahed/codeare
client9/libinjection
apache/thrift
serge-sans-paille/pythran
ispc/ispc
tomthorogood/Mogu
toastedcrumpets/DynamO
postgres/pgadmin3
mysmartgrid/hexabus
Eyescale/Equalizer
OP2/OP2-Common
Razor-qt/razor-qt
Eyescale/Lunchbox
lightspark/lightspark
Arkania/ArkCORE
mickem/nscp
ceph/ceph
mantidproject/mantid
llvm-mirror/clang
chapuni/clang
spurious/clang-mirror
rescrv/HyperDex
NixOS/nix
TortoiseGit/TortoiseGit
STEllAR-GROUP/hpx
paulasmuth/fnordmetric
wxWidgets/wxWidgets
PDAL/PDAL
espressomd/espresso
OpenImageIO/oiio
freundlich/spacegameengine
stuntrally/stuntrally
hewsmike/Einstein-At-Home-Screensaver
v8/v8
0xd34df00d/leechcraft
AOKP/frameworks_av
openscenegraph/OpenSceneGraph
pgRouting/pgrouting
macgitver/MacGitver
etotheipi/BitcoinArmory
lumoslabs/ofxGeneric
Unvanquished/Unvanquished
aburch/simutrans
haiku/haiku
commontk/CTK
jcw/jeelib
steveicarus/iverilog
felis/USB_Host_Shield_2.0
Slicer/Slicer
OpenCPN/OpenCPN
GilesBathgate/RapCAD
t-crest/patmos-llvm
openSUSE/libzypp
openSUSE/zypper
project8/katydid
worldforge/cyphesis
Warzone2100/warzone2100
apache/mesos
QupZilla/qupzilla
xapian/xapian
NeoGeographyToolkit/StereoPipeline
amplab/snap
zeromq/libzmq
jasperla/openbsd-wip
stevenlovegrove/Pangolin
OSLL/geo2tag
audacious-media-player/audacious-plugins
Fluorohydride/ygopro
maidsafe-archive/MaidSafe-Common
jubatus/jubatus
behdad/harfbuzz
taskwarrior/task
pyne/pyne
aras-p/glsl-optimizer
xykivo/android
hpfem/hermes
PX4/Firmware
veg/hyphy
openwebos/db8
Sankore/Sankore-3.1
sebhtml/ray
OpenClovis/SAFplus-Availability-Scalability-Platform
lattice/quda
vslavik/poedit
EmergingTechnologyAdvisors/node-serialport
0ad/0ad
pism/pism
clemahieu/mu
Kitware/VTK
hojonathanho/bulletsim
zussel/oos
MITK/MITK
sni/gearmand
salilab/imp
NIF-au/TissueStack
arangodb/arangodb
mheinsen/seec
danmar/cppcheck
tonioni/WinUAE
residualvm/residualvm
openSUSE/snapper
KDAB/GammaRay
MihailJP/MiHaJong
mobile-shell/mosh
dimitar-asenov/Envision
aerys/minko
texus/TGUI
thomasmoelhave/tpie
supercollider/supercollider
inet-framework/inet
spring/spring
alanbriolat/clementine-subsonic
clintbellanger/flare
syokenz/marunouchi-mongodb
RhobanProject/Utils
ciyam/ciyam
multiwii/multiwii-firmware
jjuran/metamage_1
chenshuo/muduo
zaphoyd/websocketpp
jckarter/clay
yxl/Fire-IE
coolwanglu/pdf2htmlEX
tomahawk-player/tomahawk-resolvers
PixarAnimationStudios/OpenSubdiv
JohnLangford/vowpal_wabbit
umlaeute/Gem
Aloshi/EmulationStation
torvalds/subsurface
qreal/qreal
kmatheussen/radium
aldebaran/libqi
stepcode/stepcode
OPM/ewoms
GNOME/gnome-system-monitor
gottcode/focuswriter
nisselarsson/fs2_open_patchbucket
apache/trafficserver
bkloppenborg/simtoi
epico/libpinyin
proycon/colibri
csete/gqrx
shentok/marble
malaterre/GDCM
Lexikos/AutoHotkey_L
ireyon/viking-engine
ABBAPOH/andromeda
SimpleITK/SimpleITK
mroonga/mroonga
camsas/firmament
pilkch/library
SophistSolutions/Stroika
genodelabs/genode
HeliumProject/Helium
wichtounet/eddic
ReadyTalk/avian
jeremybennett/verilator
Habbie/powerdns
vir/yate
ivansafrin/Polycode
doughodson/OpenEaagles
taglib/taglib
julianstorer/JUCE
plenluno/libj
janisl/jlquake
plenluno/libnode
mworks/mworks
OpenChemistry/molequeue
iosoccer/iosoccer-game
iut-ibk/DynaMind
aria2/aria2
Tasssadar/Lorris
cyclus/cycamore
DDMAL/libmei
percolator/percolator
opencor/opencor
stencila/stencila
hpfem/agros2d
vast-io/vast
bredelings/BAli-Phy
chapuni/lldb
llvm-mirror/lldb
zhouyan/vSMC
mikrosimage/duke
yade/trunk
chapuni/libcxx
llvm-mirror/libcxx
openhome/ohNet
MythTV/mythtv
VDrift/vdrift
headmyshoulder/odeint-v2
openbabel/openbabel
simsong/bulk_extractor
baumgarr/nixnote2
kohler/click
Constellation/iv
uspgamedev/horus_eye
wraith/wraith
aashish24/gdal-svn
mosra/magnum
mosra/magnum-examples
mosra/magnum-plugins
tuttleofx/TuttleOFX
OpenNebula/one
lbv/pc-code
figment/JA2-1.13
simonfuhrmann/mve
NUbots/robocup
irods/irods
nightingale-media-player/nightingale-hacking
philsquared/Catch
zeux/pugixml
psi-im/psi
toffaletti/libten
laerad84/Analysis
redpony/cdec
kpu/kenlm
SimonKagstrom/kcov
Homer-Conferencing/Homer-Conferencing
losalamos/CLAMR
cgogn/CGoGN
g1257/dmrgpp
droundy/deft
rousseau/fbrain
OpenChemistry/avogadrolibs
hanm/clang
simplechatclient/simplechatclient
ukoethe/vigra
otcshare/automotive-message-broker
nicobou/switcher
CalVR/calvr_plugins
CamelliaDPG/Camellia
mapserver/docs
godfat/cubeat
tgoyne/aegisub
mbunkus/mkvtoolnix
wisk/medusa
kduske/TrenchBroom
hkrn/MMDAI
audacious-media-player/audacious
prefetchnta/questlab
Kazade/KGLT
ewxrjk/rsbackup
wITTus/Brute-Force-Game-Engine
Alalf/SCFF-DirectShow-Filter
SergeyStrukov/CCore
openstreetmap/osm2pgsql
katyhuff/cyder
bolero-MURAKAMI/Sprout
gnuradio/gnuradio
ddemidov/vexcl
tractor/tractor
pin3da/Programming-contest
SimonRit/RTK
CGRU/cgru
scandyna/multidiagtools
rbei-etas/busmaster
yudjin87/carousel
H-uru/Plasma
mkrufky/libdvbtee
bkaradzic/bgfx
aarizaq/inetmanet-3.x
kinetiknz/cubeb
v8mips/v8mips
herumi/cybozulib
mothur/mothur
mlang/bmc
makerbot/MightyBoardFirmware
smowton/llpe
bbannier/ROOT-svn-import
khwillia/repss
hluk/CopyQ
BeginnerSlob/TouhouTripleSha
lavv17/lftp
vrtadmin/clamav-devel
akrennmair/newsbeuter
mawww/kakoune
ggasoftware/indigo
BlackToppStudios/Mezzanine
jackyf/cupt
andrewpaterson/Codaphela.Library
tim-janik/rapicorn
DigitalPulseSoftware/NazaraEngine
anope/anope
bkaradzic/bx
couchbase/libcouchbase
mmaulwurff/FREG
ufz/ogs
graphitemaster/gmqcc
bjtommychen/apps
Henne/Bright-Eyes
dyfet/ucommon
DGtal-team/DGtal
freundlich/fcppt
OPM/opm-core
wallix/redemption
synfig/synfig
drolbr/Overpass-API
open-ephys/GUI
eiskaltdcpp/eiskaltdcpp
jbcoe/CppSandbox
marek629/SIR
kaorut/bobura
cpputest/cpputest
project8/mantis
TheJosh/chaotic-rage
tornadocean/SyAutoH
veltzer/demos-linux
cocaine/cocaine-core
iut-ibk/DynaMind-ToolBox
coolfluid/coolfluid3
lemire/Code-used-on-Daniel-Lemire-s-blog
EasyRPG/Player
atria-soft/ewol
worldforge/ember
qbittorrent/qBittorrent
SOCI/soci
garak/symfony-docs-it
munt/munt
bempp/bempp
zaki/irrlicht
LK8000/LK8000
melpon/wandbox
opengm/opengm
hexhex/core
vovoid/vsxu
vogel/kadu
tpaviot/oce
openmeeg/openmeeg
cutechess/cutechess
ElementalAlchemist/RoBoBo
lasvegasrc/Las-Vegas-Reconstruction
benvanik/xenia
freelan-developers/freelan
tomaszmrugalski/dibbler
genome/joinx
wsong83/Asynchronous-Verilog-Synthesiser
mltframework/shotcut
libbitcoin/libbitcoin
palmer-dabbelt/mhng
mangosR2/mangos3
HotKeyIt/ahkdll
Paul-Wortmann/Frost_and_Flame
srz-zumix/iutest
andrejv/wxmaxima
kronosaur/Transcendence
mikael-s-persson/ReaK
hydrogen-music/hydrogen
juj/MathGeoLib
avasyukov/gcm-3d
diegopacheco/Diego-Pacheco-Sandbox
MaxKellermann/MPD
asantee/ethanon
TRIQS/triqs
crocdialer/KinskiGL
WPN-XM/server-control-panel
georgmartius/lpzrobots
HongjianLi/idock
syntheticpp/dartruntime
JarrettBillingsley/Croc
kouretes/Monas
ChaiScript/ChaiScript
matthewturnbull/xcsoar
hjr/XCSoar
Ichimonji10/impedimenta
brazilofmux/tinymux
jzarl/kphotoalbum
frigge/MindTree
y2q-actionman/zatuscheme
Aegisub/Aegisub
antonvw/wxExtension
hpfem/hermes-legacy
firewood/topcoder
mackron/GTGameEngine
daisukekoba/sakura-editor-trunk2
flipcoder/qor
CTSRD-CHERI/llvm
CTSRD-CHERI/clang
hmmr/aghermann
losalamos/Byfl
rdkit/rdkit
rhdunn/cainteoir-engine
skynowa/xLib
copasi/COPASI
silvest/HEPfit
opdenkamp/xbmc-pvr-addons
Cyberbeing/xy-VSFilter
cocaine/cocaine-plugins
brezerk/q4wine
haxenme/nme
OPM/opm-upscaling
OPM/ResInsight
gemrb/gemrb
Loki-Astari/ThorsSerializer
daviddoria/PatchBasedInpainting
uboot/stromx
msoos/cryptominisat
vectorstorm/vectorstorm
vbeffara/Simulations
cyclus/cyclus
WaliDev/WALi-OpenNWA
skyjake/Doomsday-Engine
android/platform_system_core
Chaste/Chaste
ros/ros_comm
frankyeh/DSI-Studio
count0/graph-tool
freundlich/sanguis
rafewenger/sharpiso
pgmodeler/pgmodeler
LibRaw/LibRaw
x37v/datajockey
lballabio/QuantLib
cmangos/mangos-wotlk
davidshepherd7/oomph-lib-micromagnetics
flavioc/meld
cmangos/mangos-classic
dwelter/pestpp
GNOME/gnote
XhmikosR/notepad2-mod
omegaonline/oobase
spinos/aphid
GNOME/ekiga
GNOME/gparted
BartVandewoestyne/Cpp
hetelek/Velocity
notepadqq/notepadqq
linuxbox2/linuxbox-ceph
logcabin/logcabin
guruofquality/gras
salilab/rmf
OctaForge/OF-Engine
psychi/fragments
mne-tools/mne-cpp
ololoepepe/BeQt
t-crest/patmos
Revolutionary-Games/Thrive
Ares-Developers/Ares
SlimRoms/frameworks_av
svalinn/DAGMC
JimbobKR18/JFramework
rfabbri/Gem
CTSRD-SOAAP/soaap
reenigne/reenigne
fcoulombe/kinevox
quietfanatic/rata
ahamez/libsdd
yujinrobot/kobuki
syntheticpp/qt-creator
xrubio/pandora
blmarket/crawl-korean
freeorion/freeorion
lwinkler/markus
tstack/lnav
gschwind/page
simonct/CoreAstro
FreeCAD/FreeCAD
Ratstail91/Tortuga
ethz-asl/libpointmatcher
gliaskos/freebsd-chromium
stnava/ANTs
rdiankov/openrave
tklab-tud/uscxml
cpatrasciuc/nine-men-morris
AgileManufacturing/HUniversal-Production-Utrecht
ikaros-project/ikaros
clintbellanger/flare-engine
Maximus5/ConEmu
matthewcpp/recondite
ojwb/survex
loaden/qtcreator
campreilly/UnderSeaModelingLibrary
joaoleal/CppADCodeGen
ros-visualization/rviz
GarageGames/Torque3D
eric7237cire/CodeJam
OpenWaterAnalytics/epanet-rtx
colobot/colobot
esrf-bliss/Lima
feelpp/feelpp
vancegroup-mirrors/eigen
WrinklyNinja/libloadorder
Matthias-Fauconneau/serenity
InsightSoftwareConsortium/ITKExamples
rec/echomesh
quantcast/qfs
pgengler/pinot
akw0088/altEngine
reverbrain/elliptics
svn2github/wxPython
rouault/gdal
xintrea/mytetra_dev
tomamic/fondinfo
macgitver/libHeaven
UWB-Biocomputing/BrainGrid
macgitver/libGitWrap
ManaPlus/ManaPlus
openstreetmap/merkaartor
Hanmac/rwx
cloudera/Impala
