rstudio/rstudio
igvteam/igv
netty/netty
barchart/barchart-feed-ddf
MovingBlocks/Terasology
openmicroscopy/bioformats
xetorthio/jedis
grails/grails-core
openzipkin/zipkin
Evervolv/android_frameworks_base
liquibase/liquibase
Graylog2/graylog2-server
MinecraftForge/MinecraftForge
infinispan/infinispan
gradle/gradle
SpoutDev/Spout
candlepin/candlepin
dynjs/dynjs
hangum/TadpoleForDBTools
PIH/openmrs-module-mirebalais
ps3mediaserver/ps3mediaserver
UNC-Libraries/Carolina-Digital-Repository
wicketstuff/core
forcedotcom/SalesforceMobileSDK-Android
nutzam/nutz
floodlight/floodlight
tobie/ua-parser
springside/springside4
pentaho/big-data-plugin
droolsjbpm/jbpm
ceylon/ceylon-ide-eclipse
liferay/liferay-docs
bndtools/bndtools
concord-consortium/energy3d
liferay/liferay-portal
hibernate/hibernate-ogm
stackmob/stackmob-java-client-sdk
elastic/elasticsearch
essentials/Essentials
meltmedia/cadmium
EngineHub/CommandHelper
plutext/docx4j
apache/poi
voldemort/voldemort
Catrobat/Catroid
bigbluebutton/bigbluebutton
unclebob/fitnesse
alkacon/opencms-core
apache/lucene-solr
ervandew/eclim
nicolasgramlich/AndEngine
todoroo/astrid
nathanmarz/storm
square/okhttp
MIT-Mobile/MIT-Mobile-for-Android
RoyalDev/RoyalCommands
intermine/intermine
Bukkit/Bukkit
isenseDev/iSENSE-Hardware
geoserver/geoserver
restlet/restlet-framework-java
sleuthkit/autopsy
clojure/clojure
dmarc0001/submatixBTPC
thinkaurelius/titan
adangel/pmd
twitter/commons
ModeShape/modeshape
Atmosphere/atmosphere
griddynamics/yhadoop-common
CeON/CoAnSys
brianfrankcooper/YCSB
groovy/groovy-eclipse
jbsalgado/bpa-i
Sage-Bionetworks/Synapse-Repository-Services
TexasDigitalLibrary/Vireo
yusuke/twitter4j
loopj/android-async-http
jclouds/jclouds
apache/cassandra
ippontech/tatami
CERN/apvs
jboss-switchyard/components
mballance/sveditor
VoltDB/voltdb
apereo/cas
alecgorge/jsonapi
forge/core
exoplatform/social
sk89q/CraftBook
mongodb/mongo-java-driver
exoplatform/platform
choreos/choreos_middleware
exoplatform/exogtn
cbsrbiobank/biobank
eucalyptus/eucalyptus
exoplatform/ecms
bio4j/bio4j
mifos/head
cloudsmith/geppetto
Cryptite/The-Artifact
sk89q/WorldGuard
swagger-api/swagger-core
janrain/janrain-backplane-2
androidannotations/androidannotations
peternixon/opennms-mirror
openstreetmap/josm
droolsjbpm/drools
k9mail/k-9
apache/hive
liato/android-bankdroid
osmandapp/Osmand
gwtbootstrap/gwt-bootstrap
yahoo/omid
brooklyncentral/brooklyn
rhuss/jolokia
orbisgis/orbisgis
northern-bites/nbites
bndtools/bnd
caelum/vraptor
apache/hbase
apache/avro
ST-DDT/Crazy
sonatype/nexus
droolsjbpm/guvnor
eclipse/jgit
apache/sqoop
mendhak/gpslogger
FluentLenium/FluentLenium
joscha/play-authenticate
cbeust/testng
weld/core
zxing/zxing
svn2github/cytoscape
cbeust/testng-eclipse
bguerout/jongo
gephi/gephi
BaseXdb/basex
MassiveCraft/Factions
dblock/waffle
JPMoresmau/eclipsefp
BroadleafCommerce/BroadleafCommerce
Silverpeas/Silverpeas-Core
Silverpeas/Silverpeas-Components
rest-assured/rest-assured
thucydides-webtests/thucydides
senseobservationsystems/sense-android-library
jenkinsci/warnings-plugin
jberkel/sms-backup-plus
apache/maven-plugins
AOKP/frameworks_base
geogebra/geogebra
greatman/craftconomy3
cloudfoundry/uaa
cismet/cismap-commons
mitreid-connect/OpenID-Connect-Java-Spring-Server
okjsp/okjsp-site
cismet/cids-server
jeeeyul/eclipse-themes
hazelcast/hazelcast
vtst/ow
jbosstm/narayana
broadgsa/gatk
ops4j/org.ops4j.pax.web
geotools/geotools
greese/dasein-cloud-core
stapler/stapler
jersey/jersey
square/retrofit
Netflix/Priam
getrailo/railo
eclipse/jetty.project
rgladwell/m2e-android
liferay/liferay-plugins
curtisullerich/attendance
Unidata/IDV
AdeleResearchGroup/ApAM
slapperwan/gh4a
geometer/FBReaderJ
cometd/cometd
basho/riak-java-client
jitlogic/zorka
collectionspace/services
spacecowboy/NotePad
threerings/playn
nutzam/nutzmore
kelemen/JTrim
android/platform_frameworks_base
CloudifySource/cloudify
RS485/LogisticsPipes
EnderWiggin/Custom-Salem
uq-eresearch/oztrack
dolda2000/salem-client
sk89q/WorldEdit
errai/errai
commonsguy/cw-omnibus
CONNECT-Solution/CONNECT
hibernate/hibernate-orm
mongodb/mongo-hadoop
mcMMO-Dev/mcMMO
pclewis/mcpatcher
twilio/twilio-java
exoplatform/jcr
caprica/vlcj
exoplatform/wiki
Gumtree/gumtree
fluxtream/fluxtream-app
apavlo/h-store
tinkerpop/rexster
davidmoten/xuml-tools
JetBrains/MPS
gitblit/gitblit
resteasy/Resteasy
qii/weiciyuan
nostra13/Android-Universal-Image-Loader
andstatus/andstatus
sparklemotion/nokogiri
rzwitserloot/lombok
jior/glaf
jenkinsci/xunit-plugin
XBigTK13X/Aigilas
OpenIAM/openiam-idm-ce
nodebox/nodebox
Unidata/thredds
ignatov/intellij-erlang
sebfz1/wicket-jquery-ui
ceylon/ceylon.language
winder/Universal-G-Code-Sender
eaglesakura/eglibrary
tananaev/traccar
Deadrik/TFCraft
openmrs/openmrs-core
msgpack/msgpack-java
AxonFramework/AxonFramework
searchbox-io/Jest
Atmosphere/nettosphere
gatein/gatein-portal
tinkerpop/blueprints
JetBrains/kotlin
ndw/xmlcalabash1
sandsmark/QuasselDroid
apache/pig
johncarl81/transfuse
helloworld1/AnyMemo
motech/ananya-kilkari
proofpoint/platform
ImmobilienScout24/yum-repo-server
apache/activemq
apache/openjpa
apache/nutch
rasto/lcmc
orbeon/orbeon-forms
AOKP/packages_apps_Phone
DSpace/DSpace
motech/motech-whp
nroduit/Weasis
pahimar/Equivalent-Exchange-3
arcao/Geocaching4Locus
impetus-opensource/Kundera
FasterXML/jackson-core
rarnu/root-tools
MCTCP/TerrainControl
UweTrottmann/SeriesGuide
FasterXML/jackson-databind
evandor/skysail-server
toshiakisp/akahuku-firefox-sp
evandor/skysail-server-ext
wala/WALA
agilebirds/openflexo
openGDA/gda-core
DawnScience/scisoft-core
jOOQ/jOOQ
bekvon/Residence
almende/dialog
carrot2/carrot2
MyAOSP/frameworks_base
jbossas/console
OpenSpaces/OpenSpaces
enonic/cms-ce
Hidendra/LWC
igorkraft/codestore
mbeddr/mbeddr.core
AmanziTel/awe-core
societies/SOCIETIES-Platform
sreichholf/dreamDroid
rinde/RinSim
qcadoo/mes
amplab/carat
jtalks-org/jcommune
robworth/patientview
cdk/cdk
bcdev/sst-cci-toolbox
apache/ambari
juzu/juzu
xebialabs/overthere
thothbot/parallax
easysoa/EasySOA
salema/PodCatcher-Deluxe-Android
apache/mahout
Everteam-Software/tempo
xwiki/xwiki-platform
maninsoft/smartworksV3
EBISPOT/goci
docdoku/docdoku-plm
ISA-tools/ISAcreator
nuxeo/nuxeo
apache/kafka
javalite/activejdbc
JetBrains/teamcity-nuget-support
DawnScience/dawn-ui
difi/oxalis
mydlp/mydlp-ui
apache/wicket
AOKP/packages_apps_ROMControl
xwiki/xwiki-commons
NGDATA/lilyproject
iFixit/iFixitAndroid
jpos/jPOS-EE
OpenGamma/OG-Platform
FAP-Team/Fap-Module
bendisposto/probparsers
Catrobat/Paintroid
SomMeri/less4j
java-native-access/jna
JetBrains/Grammar-Kit
capedwarf/capedwarf-blue
nifty-gui/nifty-gui
marubinotto/Piggydb
droolsjbpm/droolsjbpm-knowledge
abarisain/dmix
jpos/jPOS
vrapper/vrapper
metawidget/metawidget
Dexels/navajo
inspirer/textmapper
bluesoft-rnd/aperte-workflow-core
ceylon/ceylon-js
apache/flume
mayocat/mayocat-shop
camsys/onebusaway-nyc
vmi/selenese-runner-java
mjdenham/and-bible
maxcom/lorsource
xXKeyleXx/MyPet
idega/com.idega.core
JetBrains/intellij-community
apache/commons-math
bio2rdf/bio2rdf-scripts
mth/yeti
dana-i2cat/opennaas
imagej/imagej
apache/roller
holatuwol/kolmafia
apache/oozie
greese/dasein-cloud-aws
mamewotoko/podplayer
davemckain/qtiworks
daneren2005/Subsonic
ccheneau/Holmes
dcm4che/dcm4che
Runsafe/Framework
yanchenko/droidparts
BigScary/GriefPrevention
societies/SOCIETIES-SCE-Services
LimeByte/BattleNight-Core
jboss-reddeer/reddeer
thymeleaf/thymeleaf
sigmarkarl/sandbox
ops4j/org.ops4j.pax.cdi
tubav/fiteagle
farin/JCloisterZone
apache/camel
ceylon/ceylon-compiler
keepkey/multibit
danbernier/WordCram
apache/jackrabbit
imeji-community/imeji
functionaljava/functionaljava
arrayexpress/annotare2
tomahawk-player/tomahawk-android
seba--/sugarj
nikotsunami/osce
AnalyticalGraphicsInc/czml-writer
hector-client/hector
cpesch/RouteConverter
atlasapi/atlas
griddynamics/jagger
mozilla-services/android-sync
signed/sandboxes
openmicroscopy/openmicroscopy
willuhn/hibiscus
qos-ch/logback
ale-f/big-red
belaban/JGroups
jdmr/mateo
liferay/liferay-faces
almende/eve
turt2live-bukkit/AntiShare
dankurka/mgwt
soluvas/soluvas-framework
Jasig/uPortal
moguonyanko/moglabo
pentaho/mondrian
socialize/socialize-sdk-android
ProjectCCNx/ccnx
pentaho/data-access
splunk/splunk-sdk-java
entwinemedia/weblounge
Androxyde/Flashtool
Sable/soot
tinfoilhat/tinfoil-sms
ligi/gobandroid
stoicflame/enunciate
buchen/portfolio
openstreetmap/josm-plugins
apache/shiro
zenbones/SmallMind
yuriykulikov/AlarmClock
splunk/splunk-shuttl
headsupdev/agile
stripe/stripe-java
groovy/groovy-core
frostwire/frostwire-desktop
android/platform_frameworks_support
sgothel/jogl
Gwindow/WhatAndroid
TGAC/miso-lims
apache/ant
zanata/zanata-api
jtalks-org/poulpe
openGDA/gda-epics
sybila/parasim
ObeoNetwork/InformationSystem
movsim/movsim
jantje/arduino-eclipse-plugin
mixpanel/mixpanel-android
openforis/collect
skuzzle/polly
atlasapi/atlas-model
atlasapi/atlas-persistence
bendisposto/prob
qcadoo/qcadoo
nuxeo/nuxeo-chemistry
structr/structr
dzonekl/netxstudio
nuxeo/nuxeo-platform-document-routing
christophd/citrus
demoiselle/framework
sboesebeck/morphium
apache/zookeeper
klassm/andFHEM
wso2/jaggery
redline-smalltalk/redline-smalltalk
SmartBear/soapui
allan-lewis/irunninglog
NightWhistler/PageTurner
tomakehurst/wiremock
lessthanoptimal/BoofCV
locationtech/udig-platform
Spidey01/sxe
osate/osate2-plugins
molgenis/molgenis
bsautner/com.nimbits
jri/deepamehta
shlusiak/Freebloks-Android
gitblit/moxie
fprates/iocaste
guibin/Knowledge
openpixi/openpixi
biojava/biojava
bbossgroups/bboss
asksven/BetterBatteryStats
azkaban/azkaban
timmolter/XChart
i2p/i2p.i2p
laurentpetit/ccw
slipcor/pvparena
orfjackal/jumi
ops4j/org.ops4j.pax.exam2
thuetz/Energize
HUSACCT/HUSACCT
ming13/gambit
webbukkit/DynmapCore
xwiki/xwiki-enterprise
xwiki/xwiki-rendering
akvo/akvo-flow
spockframework/spock
daveclayton/json-schema-validator
turt2live-bukkit/xMail
platformlayer/platformlayer
calliopeinitiative/marca
Teiid-Designer/teiid-designer
Updownquark/Quick
kelemen/netbeans-gradle-project
fesl/figgo
FasterXML/jackson-dataformat-xml
pgjdbc/pgjdbc
JFrogDev/build-info
GeoWebCache/geowebcache
apache/httpclient
graniteds/graniteds
mocoplex/adlibr-SDK-android
Qi4j/qi4j-sdk
vbmacher/emuStudio
gumartinm/JavaForFun
julianhyde/optiq
stormpath/stormpath-sdk-java
neophob/PixelController
serso/android-calculatorpp
celements/celements-core
celements/celements-photo
droolsjbpm/droolsjbpm-integration
jpaw/bonaparte-java
nhasan/Airports
apollo-rsps/apollo
zachtaylor/JPokemon
vmware-serengeti/serengeti-ws
zkoss/zk
apache/tomcat70
btmura/rbb
mkszuba/kolmafia
bpiwowar/experimaestro
DawnScience/dawn-common
t-oster/VisiCut
jeromerobert/jCAE
thomasjungblut/thomasjungblut-common
Talend/tesb-rt-se
wso2-attic/tools
testmycode/tmc-netbeans
JetBrains/kotlin-web-demo
ceylon/ceylon-module-resolver
sanger-pathogens/Artemis
easysoa/EasySOA-Incubation
steveloughran/hadoop-trunk
mdoube/BoneJ
Illarion-eV/Illarion-Java
lucmoreau/ProvToolbox
scala-android/sbt-android
RegalOwl/HyperConomy
Permafrost/Tundra
d3scomp/JDEECo
jboss-remoting/jboss-remoting
jlegewie/zotfile
zibhub/GNDMS
Praqma/cool
FallenMoonNetwork/CanaryRecode
FallenMoonNetwork/CanaryLib
gkhachik/katello-api
bcdev/beam
te-con/ehour
motech/GHANA-National
mrniko/netty-socketio
wuetherich/bundlemaker
gitools/gitools
atlasapi/atlas-feeds
dukeboard/kevoree
threerings/clyde
AOKP/packages_apps_Settings
wyona/yanel
openmrs/openmrs-module-reporting
romanzenka/swift
undertow-io/undertow
backmeup/backmeup-prototype
openstreetmap/mkgmap
felixb/callmeter
azagniotov/stubby4j
apache/qpid
asakusafw/asakusafw
Exalm/Minecraft-mods
grove/presto
webdetails/cpf
johnmay/mdk
apache/felix
JFXtras/jfxtras-labs
MarkehMe/FactionsPlus
android/platform_packages_apps_settings
timmolter/XChange
couchbase/couchbase-java-client
nysenate/OpenLegislation
StackFrame/sarariman
apache/bookkeeper
apache/httpcore
apache/directmemory
apache/tomcat
sevntu-checkstyle/sevntu.checkstyle
apache/commons-codec
jogetworkflow/jw-community
cismet/cids-navigator
tomp2p/TomP2P
hhru/nuts-and-bolts
BenjaminSchiller/GTNA
filipg/amu_automata_2011
mebigfatguy/fb-contrib
cexbrayat/linkit
hibernate/hibernate-search
sgothel/gluegen
antlr/antlr4
jbehave/jbehave-core
calvinaquino/LNReader-Android
kohsuke/github-api
apache/jackrabbit-oak
libgdx/libgdx
perwendel/spark
ushahidi/SMSSync
Bio7/bio7
hibernate/hibernate-validator
android/platform_packages_apps_browser
LiquidSmooth/android_packages_apps_Settings
apache/pdfbox
apache/jmeter
pcpratts/rootbeer1
ControlSystemStudio/cs-studio
eclipse/jubula.core
jenkinsci/tfs-plugin
Slowpoke101/FTBLaunch
cismet/cids-custom-wuppertal
jbossas/jboss-ejb-client
cismet/verdis
SonarSource/sonar-php
apache/bigtop
Sloy/SeviBus
thargor6/JWildfire
FURCAS-dev/FURCAS
radargun/radargun
realtim/mmb
AsyncHttpClient/async-http-client
griffon/griffon
ferhatelmas/algo
OpenHMIS/openmrs-module-openhmis.cashier
gabesoft/topc
pm4j/org.pm4j
LiquidSmooth/android_frameworks_base
deanhiller/playorm
apache/maven-scm
apache/karaf
fzoli/RemoteControlCar
UniversalMediaServer/UniversalMediaServer
apache/commons-lang
dreedyman/Rio
jenkinsci/analysis-core-plugin
eclipse/cdt
akvo/akvo-flow-mobile
php-coder/mystamps
elastic/elasticsearch-hadoop
pholser/junit-quickcheck
ybonnel/TransportsRennes
charlesmadere/ClassyGames
eclipse/recommenders
mapfish/mapfish-print
genericworkflownodes/GenericKnimeNodes
AbFab3D/AbFab3D
ebraminio/DroidPersianCalendar
cacheflowe/haxademic
SquidPony/SquidLib
SynBioDex/libSBOLj
jcryptool/crypto
zanata/zanata-client
DevBoost/EMFText
motech/TAMA-Web
INCF/eeg-database
tyndale/step
tillnagel/unfolding
hdiv/hdiv
rabbitmq/rabbitmq-java-client
apache/accumulo
sourcepit/b2
apache/aries
apache/maven-surefire
objectledge/ledge
apache/cxf
stupidsing/suite
scijava/scijava-common
freemarker/freemarker-old
droolsjbpm/jbpm-console-ng
threerings/tripleplay
korpling/ANNIS
JetBrains/intellij-plugins
openforis/calc
lrozenblyum/chess
prey/prey-android-client
apache/tika
jschneider/com.cedarsoft.serialization
apache/ofbiz
bcdev/beam-globalbedo
digipost/digipost-api-client-java
efsavage/ajah
fenix-framework/fenix-framework
timrdf/csv2rdf4lod-automation
padrig64/ValidationFramework
jenkinsci/remoting
mtotschnig/MyExpenses
apache/whirr
hudec/sql-processor
apache/tapestry5
apache/activemq-apollo
ipeirotis/Troia-Server
jboss/mojarra
AnalogDevicesLyricLabs/dimple
soluvas/soluvas-web
RestComm/sip-servlets
romanchyla/montysolr
blurpy/kouchat-android
eclipse/eclipse.platform.ui
icehockeystar/militaryshop
nuxeo/nuxeo-platform-lang-ext
Catrobat/Musicdroid
tindandelion/android-radio-t
pranab/chombo
huxi/lilith
apache/commons-io
validator/validator
bendisposto/prob2
geosdi/geo-platform
ExtrabiomesXL/ExtrabiomesXL
FlansMods/FlansMod
johannilsson/sthlmtraveling
exoplatform/ui-test
android/platform_packages_apps_contacts
trifork/fmk-schemas
eclipse/orion.server
eclipse/bpmn2-modeler
hypercube1024/firefly
bitstadium/HockeySDK-Android
RestComm/jss7
JPII/NavalBattle
magefree/mage
cismet/cids-custom-wuppertal-server
yegor256/s3auth
dedyk/JaponskiPomocnik
dedyk/JaponskiSlownik
koush/AndroidAsync
RBC1B/ROMS
eclipse/gef
yissachar/fave100
CoreMedia/jangaroo-tools
apache/maven
jacoco/jacoco
mockito/mockito
WASP-System/central
owncloud/android
slipcor/pvparena_modules
phenoscape/phenoscape-data
oshi/oshi
PonySDK/PonySDK
oboehm/gdv.xport
jonabbey/Ganymede
treasure-data/td-client-java
apache/mina-sshd
Bombe/Sone
opacapp/opacclient
apache/commons-collections
maxirosson/jdroid
ESGF/esg-search
OpenComm/OpenComm-Group
RestComm/Restcomm-Connect
justinhrobbins/FlashCards_App
SlimRoms/frameworks_base
MinELenI/CBSviewer
apache/stanbol
apache/qpid-proton
SlimRoms/packages_apps_Settings
mgoellnitz/tangram
tengstrand/Laja
apache/tapestry-5
Weltraumschaf/commons
datasalt/pangool
apache/chemistry-opencmis
yukuku/androidbible
jcstaff/ejava-javaee
cotrix/cotrixrep
apache/archiva
SonarSource/sonar-java
ArcBees/GWTP
Netflix/eureka
apache/flex-falcon
SeqWare/seqware
fracture91/wpi-suite-tng
eccentricdevotion/TARDIS
apache/sling
ClemsonRSRG/RESOLVE
marthaler/schuelerturnier
ThinkingBridge/platform_frameworks_base
Permafrost/TundraTN
tzaeschke/zoodb
eclipse/birt
Pi4J/pi4j
oblac/jodd
timeu/GWA-Portal
bugsnag/bugsnag-android
apache/openwebbeans
eclipse/egit
podd/podd-redesign
barchart/barchart-util
soomla/android-store
inovex/zax
Activiti/Activiti
opennetworkinglab/flowvisor
jutzig/jabylon
greese/dasein-cloud-openstack
aadnk/ProtocolLib
kaitoy/pcap4j
apache/directory-server
graphhopper/graphhopper
corydoras/base
apache/tomcat60
indication/OpenRedmine
TanyaGaleyev/Panda-project
TabakoffLab/PhenoGen
JodaOrg/joda-beans
apache/servicemix4-bundles
apache/manifoldcf
apache/opennlp
iBotPeaches/Apktool
uniba-dsg/betsy
infiniteautomation/ma-modules-public
AOKP/frameworks_base_disabled
Cognifide/Slice
mulesoft/mule-common
NoCheatPlus/NoCheatPlus
Root-Box/frameworks_base
haraldk/TwelveMonkeys
realityforge/replicant
JRebirth/JRebirth
perfectsense/dari
perfectsense/brightspot-cms
bedatadriven/activityinfo
mikera/vectorz
team-worthwhile/worthwhile
eclipse/eclipse.jdt.core
eclipse/eclipse.jdt.ui
tferr/ASA
jdmonin/JSettlers2
OpenTSDB/opentsdb
eclipse/sapphire
luwrain/luwrain
lupino3/edumips64
apache/axis2-java
comunes/kune
jcodec/jcodec
tntim96/JSCover
