alchemy-fr/Phraseanet
livinglab/openlab
sourcefabric/airtime
symfony/symfony
opencart/opencart
concrete5/concrete5
pyrocms/pyrocms
joomla/joomla-platform
vrana/adminer
moodle/moodle
openscholar/openscholar
LitusProject/Litus
squizlabs/PHP_CodeSniffer
joomla/joomla-cms
PHPOffice/PHPExcel
yiisoft/yii
sebastianbergmann/phpunit
drupal/drupal
SkyPHP/skyphp
mongodb/mongo-php-driver
habari/system
isotope/core
cartalyst/sentry
Elgg/Elgg
netz98/n98-magerun
jigoshop/jigoshop
LimeSurvey/LimeSurvey
roundcube/roundcubemail
symfony-cmf/cmf-sandbox
phpDocumentor/phpDocumentor2
pods-framework/pods
top-think/thinkphp
nette/nette
laravel/laravel
SimpleMachines/SMF2.1
colosa/processmaker
JacksonRiver/springboard_modules
lbayle/codev
exponentcms/exponent-cms
silverstripe/silverstripe-cms
composer/composer
WordPress/WordPress
markjaquith/WordPress
Bancha/Bancha
Ecotrust/marco-portal
FriendsOfSymfony/FOSRestBundle
modxcms-jp/evolution-jp
kakserpom/phpdaemon
dg/dibi
ushahidi/Ushahidi_Web
cakephp/cakephp
wp-cli/wp-cli
symfony/symfony-docs
fluxbb/core
phpcollab/phpcollab
daylightstudio/FUEL-CMS
collectiveaccess/providence
ci-bonfire/Bonfire
Codeception/Codeception
piwik/piwik
hypery2k/owncloud
propelorm/Propel2
thebuggenie/thebuggenie
xp-framework/xp-framework
symfony/symfony-standard
ushahidi/SwiftRiver
crowdfavorite/wp-social
charlesportwoodii/CiiMS
Seldaek/monolog
contao/core
scholarslab/Neatline
nikic/PHP-Parser
omeka/Omeka
SSilence/selfoss
booksbyus/zguide
nrk/predis
WebTales/rubedo
Dolibarr/dolibarr
hwi/HWIOAuthBundle
symphonycms/symphony-2
textpattern/textpattern
poweradmin/poweradmin
sebastianbergmann/php-code-coverage
phingofficial/phing
devlab-oy/pupesoft
woocommerce/woocommerce
phalcon/cphalcon
yandod/candycane
mdnoble73/VuFind-Plus
webignition/app.simplytestable.com
yi12345/TravianZ
kriswallsmith/assetic
Froxlor/Froxlor
fuel/fuel
fuel/core
guzzle/guzzle
Annotum/Annotum
clubmaster/clubmaster
esotalk/esoTalk
PressCrew/infinity
atutor/ATutor
yiisoft/yii2
nilsteampassnet/TeamPass
Cotonti/Cotonti
mantisbt/mantisbt
Aatu/FieryVoid
modxcms/revolution
sonata-project/SonataAdminBundle
WoltLab/WCF
osclass/Osclass
gleez/cms
nirix/traq
horde/horde
anchorcms/anchor-cms
livestreet/livestreet
forkcms/forkcms
magento/magento2
symfony/http-foundation
bbDKP/bbguild
nesi/nesi-webportal
q2a/question2answer
phalcon/phalcon-devtools
njh/easyrdf
phpbb/customisation-db
phpmyadmin/phpmyadmin
zendframework/modules.zendframework.com
atk4/atk4
MissAllSunday/Breeze
fusioninventory/fusioninventory-for-glpi
Bakual/SermonSpeaker
dxw/wordpress
ubc/iPeer
nelmio/NelmioApiDocBundle
kurtpayne/wordpress-unit-tests
symfony/serializer
bfritz/fusionpbx
adampatterson/Tentacle
chutzimir/wordpress
ruflin/Elastica
WoltLab/com.woltlab.wcf.conversation
git-mirror/wordpress
xmirror/piwigo
ushahidi/Ushahidi-Localizations
Lusitanian/PHPoAuthLib
fuzionnz/civicrm
dmi3yy/modx.evo.custom
philipptempel/iCF
gabordemooij/redbean
jfusion/org.jfusion.jfusion
sonata-project/SonataUserBundle
hybridauth/hybridauth
phpseclib/phpseclib
openemr/openemr
dojorio/dojo-centro
splitbrain/dokuwiki
symfony/form
nodesagency/cakephp-lib
baohaojun/windows-config
RackTables/racktables
rilwis/meta-box
illuminate/routing
travisdesell/wildlife_at_home
seblucas/cops
au-research/ANDS-Online-Services
justintadlock/hybrid-core
jcu-eresearch/Edgar
omegaup/omegaup
hultsfredskommun/hultsfredskommun
iwdb/iwdb
gikeymarcia/Collector
symfony/process
php/web-php
pimcore/pimcore
mattpass/ICEcoder
CORE-POS/IS4C
craue/CraueFormFlowBundle
jbroadway/elefant
bcosca/fatfree
tomk79/PxFW-1.x
magorski/php-ip-2-country
recurly/recurly-client-php
sourcefabric/Newscoop
symfony/dependency-injection
fusiondirectory/fusiondirectory-plugins
litecommerce/core
gocart/GoCart
claroline/Claroline
serghey-rodin/vesta
sergejey/majordomo
phundament/app
novius-os/core
cakephp/debug_kit
yupe/yupe
all4senses/Gv
sunnysideup/silverstripe-ecommerce
breath-co2/myqee
twilio/twilio-php
board3/Board3-Portal
ratbird/hope
volkszaehler/volkszaehler.org
humanmade/Custom-Meta-Boxes
smrealms/smr
gallery/gallery3
axr/website
samilliken/openDCIM
sonata-project/SonataPageBundle
openpne/OpenPNE3
valendesigns/option-tree
webignition/worker.simplytestable.com
UnionOfRAD/lithium
jackalope/jackalope-doctrine-dbal
jackalope/jackalope
falanster/devfalanster
LEPTON-project/LEPTON
sonata-project/SonataMediaBundle
infinitas/infinitas
sonata-project/sandbox
sonata-project/SonataDoctrinePhpcrAdminBundle
supernova-ws/SuperNova
ryancramerdesign/ProcessWire
savetheinternet/Tinyboard
kohana/core
rubensayshi/gw2spidy
redaxo/redaxo
gtn/exacomp
texttochange/vusion-frontend
rurseekatze/OpenRailwayMap
fzaninotto/Faker
ZenMagick/ZenMagick
Behat/Behat
friendica/red
spip/SPIP
seosamba/ecommerce
llaville/php-compat-info
nao-pon/xelfinder
timof/jlf
openeyes/OpenEyes
rtCamp/rtpanel
MaineLearning/MaineLearning
Enalean/tuleap
symfony/yaml
tokushima/rhaco3
imagecms/ImageCMS
stripe/stripe-php
