nutzam/ssdb4j
project-rhex/omniauth_openid_connect
henrik/vim-yaml-flattener
ffmike/multilogger
thymeleaf/thymeleaf-extras-springsecurity3
i2p/i2p.i2p-bote
eggerdo/ZmqVideoChat
ceylon/ceylon-ide-eclipse
Ale46/Mega-Java
UNC-Libraries/Ebook-Access-Checker
DPOH-VAR/PowerNBT
take-five/segment_tree
whitesmith/guard-rubycritic
envato/zxcvbn-ruby
morinted/schedule-generator
dark-panda/ffi-geos
sebasoga/giphy
ajturner/arcgis-ruby
markusproske/omniauth_pure
hunner/hiera-ldap
agoragames/activity_feed
pilwon/node-ib
GideonLeGrange/mikrotik-java
bsblabs/embed-for-vaadin
smarr/TruffleSOM
kristianmandrup/masonry-rails
alt236/Wifi-Key-Recovery---Android
stevebartholomew/newrelic_moped
dtrasbo/formatize
livoras/blog
Progether/JAdventure
pirj/tor-privoxy
hibernate/hibernate-demos
scireum/s3ninja
digital-science/baton
fxn/i-told-you-it-was-private
simonrice/middleman-rspec
nas/url_shortener
schaloner/deadbolt-2-java-examples
wpscanteam/wpscan
pramalhe/ConcurrencyFreaks
pniederw/algs4partI
basho/innertube
dslmeinte/Xtext2-DSLs
FuseByExample/camel-persistence-part2
dboissier/jenkins-control-plugin
EverythingMe/OverScrollView
lkorth/httpebble-android
dblock/fui
hggh/phantomjs-nagios
ForestryMC/ForestryMC
dblock/mongoid-scroll
thoughtbot/jack_up
yciabaud/jmeter-ssh-sampler
epost-dev/opennebula-puppet-module
carlspring/derby-maven-plugin
ismell/docker-registry-cookbook
vashishthask/eclipse-to-maven
p0deje/watirsome
nutzam/nutzwx
carbonfive/raygun
jeremycole/innodb_ruby
ashchan/meta_on_rails
58code/Gaea
Havenwood/ifuture
boxen/puppet-postgresql
ptgoetz/logback-kafka
uwescience/myria
evilmartians/liquor
yrom/AcFun-Area63
LemoProject/Lemo-Data-Management-Server
7compass/s3-mysql-backup
jkraemer/pdf-forms
Energy0124/MCFreedomLauncher
mavenlink/brainstem
Asquera/warden-hmac-authentication
wso2/esb-connectors
w3c/rdfvalidator-ng
jekyll/jekyll-watch
Nilhcem/FakeSMTP
bhdrkn/Java-Examples
igd-geo/mongomvcc
enasequence/cramtools
RedisLabs/redis-quartz
inukshuk/citeproc
curran/portfolio
rwilcox/Source.bbpackage
TeamMetallurgy/MetallurgyCore
rtomayko/replicate
frsyuki/sigdump
slartus/4pdaClient-plus
garaio/xapian_db
novoda/Spikes
rkh/tool
HollyIT/NBDrupalDevel
gabrielg/mail_to_hip_chat
MeetMe/Android-MultiStateView
bwaldvogel/liblinear-java
zolotov/RemoteCall
thingssimple/burnbox
chadrem/officer
botandrose/sprockets-image_compressor
p2abcengine/p2abcengine
CodementorIO/rest-firebase
yourabi/chef-puma
mirakui/rack-health
alor/em-http-server
longhotsummer/za-by-laws
wanelo/pause
mcs07/homebrew-cheminformatics
mxabierto/adela
librato/statsd-cookbook
pjotrp/bioruby-table
projecthydra-labs/browse-everything
ttscoff/Slogger
b1nary/rutui
vilaca/UrlShortener
priestjim/chef-openresty
flying-sphinx/flying-sphinx
two-pack/redmine_xls_export
idamobile/dagger-proguard-helper
MinecraftForge/ForgeGradle
alibaba/canal
pubnub/ruby
JadiraOrg/jadira
knowledgecode/WebSocket-for-Android
trabian/chef-forever
skyscreamer/nevado
patientslikeme/es_dump_restore
bspkrs/bspkrsCore
swanandp/gcj
chancancode/json_expressions
TKJElectronics/BalanduinoAndroidApp
i2p/i2p.android.base
lemire/externalsortinginjava
Flameeyes/ruby-elf
digineo/media_crawler
devunwired/apktools
expectedbehavior/active_mailer
ryanhamshire/GriefPrevention
neilisaac/AndroidSettlers
JackC/surus
leonko/redmine_pretend
whitequark/ast
elisarver/selophane
davejacobs/letters
locomotivecms/steam
moust/phonegap-xapkreader
saz/puppet-resolv_conf
chengdh/taobaoSDK
artem-zinnatullin/Android-AsyncTask-Executor
halogenandtoast/monban
bechte/junit-hierarchicalcontextrunner
phax/ph-css
Kunstmaan/kStrano
blahed/frank
cstockton/epiris-td-example
travis-ci/travis-images
ahmetaa/turkish-nlp-examples
jkraemer/redmine_issue_reminder
danielme-com/Android-WebBrowser-Demo--WebView-
3dna/api_docs
Flipkart/phantom
sanemat/homebrew-font
baban/flextures
pyricau/BuilderGen
hackerdude/jiratoomnifocus
kamilc/email_verifier
Zenika/Blogs
jimfoltz/SketchUp-Ruby-API-Doc
nekromant/NetTTS
jbz/knife-audit
phax/jcodemodel
AFaust/alfresco-enhanced-script-environment
rails/actionpack-page_caching
dkd/paymill-ruby
gen2brain/bukanir
motske/carrierwave-riak
ryotarai/infrataster
mbarbero/fr.obeo.releng.targetplatform
algaworks/curso-fundamentos-java-e-orientacao-a-objetos
mitchellh/middleware
Catchoom/craftar-example-android
pzol/monadic
michael-hagen/JTattoo
gbarillot/atos
devadvance/rootcloak
psyho/dependor
SamSaffron/fast_stack
LeffelMania/android-midi-lib
NTRUOpenSourceProject/ntru-crypto
sammthomson/semafor
kentaro/glint
ceylon/ceylon-module-resolver
prometheus/client_ruby
emberjs/guides
kashifrazzaqui/sslfacade
tmatilai/vagrant-proxyconf
hgoebl/DavidWebb
JoanZapata/android-pdfview
