rspec/rspec-mocks
celluloid/celluloid
ruby-grape/grape
Katello/katello
amatsuda/kaminari
activemerchant/active_merchant
randym/axlsx
heroku/heroku-buildpack-ruby
errbit/errbit
antirez/redis-doc
puppetlabs/puppet
rapid7/metasploit-framework
puppetlabs/puppet-acceptance
middleman/middleman
travis-ci/travis-core
brianmario/mysql2
egtaonline/egta_online
heroku/heroku
rails/rails
gousiosg/github-mirror
dchelimsky/rspec
rspec/rspec-rails
sunlightlabs/congress
progit/progit
redmine/redmine
fog/fog
senchalabs/jsduck
newrelic/rpm
rubymotion/BubbleWrap
railsbp/rails_best_practices
openshift/rhc
mperham/sidekiq
calabash/calabash-ios
calabash/calabash-android
diaspora/diaspora
fluent/fluentd
elm-city-craftworks/practicing-ruby-web
sinatra/sinatra
github-archive/developer.github.com
chef-cookbooks/windows
github/github-services
YaleSTC/reservations
jruby/jruby
gistflow/gistflow
capistrano/capistrano
extension/ask
infochimps-labs/ironfan
twitter/twitter-cldr-rb
browsermedia/browsercms
instructure/canvas-lms
jfelchner/ruby-progressbar
imathis/octopress
sferik/twitter
rsim/oracle-enhanced
gitlabhq/gitlabhq
ooyala/barkeep
Homebrew/homebrew-dupes
Shopify/liquid
mitchellh/vagrant
basho/riak-ruby-client
haml/haml
rightscale/rightscale_cookbooks
lsegal/yard
rescuedcode/StaffPlan
pry/pry
puppetlabs/puppetlabs-mysql
MarkUsProject/Markus
bborn/communityengine
twilio/twilio-ruby
jordansissel/fpm
RubyMoney/money
ruby-amqp/amqp
joshmcarthur/Latter
comfy/comfortable-mexican-sofa
infochimps-labs/wukong
theforeman/smart-proxy
holderdeord/hdo-site
spree/spree
trustthevote/Rocky
rubysherpas/forem
pivotal/projectmonitor
padrino/padrino-framework
solnic/virtus
stympy/faker
schubergphilis/nagios
travis-ci/travis-cookbooks
RailsApps/rails_apps_composer
seomoz/qless
torquebox/torquebox
rubinius/rubinius
rcbops/chef-cookbooks
plataformatec/devise
puma/puma
activescaffold/active_scaffold
troessner/reek
sferik/rails_admin
thoughtbot/suspenders
jeremyevans/sequel
ruby/ruby
leonidas/qa-reports
rails-sqlserver/activerecord-sqlserver-adapter
sharetribe/sharetribe
gettalong/kramdown
plataformatec/simple_form
intercom/intercom-ruby
guard/guard
tablexi/nucore-open
till/easybib-cookbooks
alexreisner/geocoder
concord-consortium/rigse
Libertree/libertree-frontend-ramaze
locomotivecms/engine
hudmol/archivesspace
thoughtbot/shoulda-matchers
isenseDev/rSENSE
fatfreecrm/fat_free_crm
spree-contrib/spree_i18n
shoes/shoes4
TracksApp/tracks
adhearsion/adhearsion
adhearsion/punchblock
Bnei-Baruch/kmedia
sferik/t
apache/buildr
rubygems/rubygems
piotrmurach/github
micktaiwan/scpm
sul-dlss/hydrus
victorykit/victorykit
citation-style-language/styles
bkeepers/dotenv
puppetlabs/marionette-collective
mroth/lolcommits
frogatto/frogatto
ging/social_stream
rspec/rspec-expectations
thoughtbot/paperclip
cloudfoundry/bosh
projectblacklight/blacklight
dtulibrary/toshokan
jruby/activerecord-jdbc-adapter
prawnpdf/prawn
otwcode/otwarchive
rightscale/right_link
NUBIC/surveyor
wvanbergen/request-log-analyzer
DayhomeRegistry/dayhomes
edavis10/redmine
ari/jobsworth
presidentbeef/brakeman
stripe/stripe-ruby
jnicklas/capybara
