joyent/libuv
antirez/redis
FFmpeg/FFmpeg
raspberrypi/linux
torvalds/linux
ClusterLabs/pacemaker
laochailan/taisei
collectd/collectd
saghul/pyuv
nicholasbishop/blender
libgit2/libgit2
bert/libdxf
madlib/madlib
faux123/Nexus-grouper
FreeRDP/FreeRDP
kripken/emscripten
prattmic/F4OS
intervigilium/android_kernel_htc_msm8960
mltframework/mlt
openlink/virtuoso-opensource
krb5/krb5
sybila/Parsybone
mpc-hc/mpc-hc
joyent/smartos-live
php/php-src
cinder/Cinder
numpy/numpy
tvheadend/tvheadend
pantherb/setBfree
wiredtiger/wiredtiger
paparazzi/paparazzi
curl/curl
ntfreak/openocd
beave/sagan
ioerror/tlsdate
illumos/illumos-gate
liuliu/ccv
GNOME/epiphany
baskerville/bspwm
mruby/mruby
norbertc/nexus-kernel
gwaldron/osgearth
libgit2/pygit2
yesodweb/persistent
bert/pcb
xorg62/wmfs
arco/samsung-kernel-msm7x30
freebsd/freebsd
fcitx/fcitx
OpenSC/OpenSC
gluster/glusterfs
radare/radare2
dava/dava.engine
phdeniel/nfs-ganesha
raspberrypi/firmware
MoSync/MoSync
git/git
ageric/nagios
universal-ctags/ctags
ec429/harris
slact/nchan
unbit/uwsgi
auphonic/auphonic-mobile
Cloudef/glhck
hexchat/hexchat
YanVugenfirer/kvm-guest-drivers-windows
mfvalin/modeltools
geany/geany
ohler55/oj
geany/geany-plugins
arco/android_device_samsung_ancora
cmassiot/upipe
jmccrohan/openwrt
ivmai/bdwgc
AeroQuad/AeroQuad
Quarx2k/android_device_moto_jordan-common
hanzz/spectrum2
nagios-plugins/nagios-plugins
shadow/shadow
sleuthkit/sleuthkit
AmmarkoV/AmmarServer
eathena/eathena
zsh-users/zsh
fredrik-johansson/flint2
RTEMS/rtems
xiehuc/pidgin-lwqq
mongodb/mongo-c-driver
zfsonlinux/zfs
davidmoreno/onion
postgres/postgres
kierank/broadcastencoder
pbatard/rufus
sahlberg/libiscsi
darktable-org/darktable
jdkoftinoff/mb-linux-msli
