dropwizard/metrics
jbox-web/redmine_git_hosting
l0rdn1kk0n/wicket-bootstrap
mdxp/nodejs-cookbook
ReactiveX/RxNetty
sass/sass
datastax/java-driver
Unidata/thredds
JFXtras/jfxtras-labs
julianhyde/optiq
davetron5000/gli
mockito/mockito
radar/paranoia
miketheman/nginx
ruby/ruby
BuildCraft/BuildCraft
essentials/Essentials
ReactiveX/RxAndroid
ReactiveX/RxJava
anthonycr/Lightning-Browser
opf/openproject
abarisain/dmix
activeadmin/activeadmin
activewarehouse/activewarehouse-etl
adamfisk/LittleProxy
addthis/stream-lib
agoragames/leaderboard
ai/r18n
alexreisner/geocoder
antirez/redis-doc
applicationsonline/librarian
arsduo/koala
attr-encrypted/attr_encrypted
awestruct/awestruct
binarylogic/authlogic
boxen/boxen
boxen/puppet-boxen
caelum/mamute
caelum/tubaina
caelum/vraptor
calagator/calagator
celluloid/dcell
chanks/que
clayallsopp/formotion
codez/dry_crud
collectiveidea/awesome_nested_set
colszowka/simplecov
concerto/concerto
crowdint/rails3-jquery-autocomplete
csc/Hanlon
DatabaseCleaner/database_cleaner
datamapper/do
ddollar/foreman
dejan/auto_html
dkubb/axiom
DozerMapper/dozer
drbrain/net-http-persistent
drewnoakes/metadata-extractor
dynjs/dynjs
egonSchiele/contracts.ruby
engineyard/engineyard
engineyard/engineyard-serverside
erikhuda/thor
errbit/errbit
eventmachine/eventmachine
evolve75/RubyTree
excon/excon
fabiomaffioletti/jsondoc
FasterXML/jackson-annotations
fazibear/colorize
FenixEdu/fenixedu-academic
flavorjones/loofah
floere/phony
flori/json
flyerhzm/bullet
fnando/browser
fog/fog
fphilipe/premailer-rails
franckverrot/activevalidators
geminabox/geminabox
gettalong/kramdown
glebm/rails_email_preview
glejeune/Ruby-Graphviz
gma/nesta
GoClipse/goclipse
google/google-api-ruby-client
google/guice
greenrobot/greenDAO
gregorym/bump
gresrun/jesque
grosser/fast_gettext
grosser/parallel
grosser/parallel_tests
guard/guard-minitest
gwtbootstrap/gwt-bootstrap
gwtbootstrap3/gwtbootstrap3
hamcrest/JavaHamcrest
haml/haml
hexorx/countries
hiki/hiki
hipchat/hipchat-rb
hstaudacher/osgi-jax-rs-connector
htty/htty
hw-cookbooks/graphite
hybridgroup/artoo
igniterealtime/Openfire
igniterealtime/Smack
imathis/octopress
integrity/integrity
intridea/hashie
inukshuk/bibtex-ruby
ioquatix/rubydns
jaimeiniesta/metainspector
